"uid","Intervention","Intervention Provider","Target Population","Target Population Location","Discipline","Research Stage","Outcome Measures"
"medline-21565071","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"medline-21571747","Centralised sharing platform","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","China; Japan","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"medline-21599895","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-21618329","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-21637794","Other peer review process","Institution","Researchers / Researcher Collaboration","United States","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"medline-21647426","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Reporting quality"
"medline-21654900","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-21664296","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage; Conduct stage; Reporting stage","Data availability and re-use; Reporting quality"
"medline-21679389","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","South Africa","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-21764787","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Effect size estimation; Reporting quality"
"medline-21774836","Other quality checks / feedback","Institution","Students","Denmark","Biomedical and health sciences","Conduct stage","Reporting quality"
"medline-21778733","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-21785360","Data sharing policy/guideline","Researchers / Researcher Collaboration","Participants","United States","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"medline-21801429","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-21861894","Data sharing policy/guideline","Institution","Researchers / Researcher Collaboration; Students","Canada","Biomedical and health sciences; Natural sciences","Planning and design stage; Conduct stage; Reporting stage","Data availability and re-use; Data quality checks / feedback"
"medline-21871943","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-21877136","Centralised sharing platform","Institution","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"medline-21888989","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"medline-21915436","Electronic lab notebooks","Institution","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Reporting quality"
"medline-21931974","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology; Agricultural and veterinary sciences","Conduct stage","Data availability and re-use"
"medline-21956509","Other quality checks / feedback","Institution","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility; Reporting quality"
"medline-22000868","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-22029901","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Materials availability and re-use; Computational reproducibility"
"medline-22031210","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Brazil","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-22031811","Health promotion interventions","Unspecified","Health care personnel","Unspecified","Biomedical and health sciences","Conduct stage","Physical health; Psychological health"
"medline-22073203","Data sharing policy/guideline","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Data availability and re-use; Reporting quality"
"medline-22108262","Reporting quality checks / feedback","Publisher / journal","Researchers / Researcher Collaboration","Spain","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-22130522","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-22135440","Other reporting guidelines, checklists, or standards","Institution; Researchers / Researcher Collaboration","Publisher / journal","India","Social sciences","Reporting stage","Reporting quality"
"medline-22165121","CONSORT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-22189269","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage; Reporting stage","Data quality checks; Reporting quality"
"medline-22196011","Online sharing platform","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
